Timestamp,clearsky_ghi,clearsky_dni,clearsky_dhi,ghi_clipped
2020-10-12 17:38:00,190.3314980373468,946.593003418869,5.05407583553324,47.5675
2020-10-12 17:43:00,166.63328531357277,925.0572833302924,4.424791846768272,40.6425
2020-10-12 17:48:00,143.0589741296037,898.9955962934959,3.798797948108074,34.5275
2020-10-12 17:53:00,119.71683121260564,866.9425881727987,3.1789690617551827,27.7075
2020-10-12 17:58:00,96.76884378087335,826.7986939466975,2.569606607569682,22.0125
2020-10-12 18:03:00,74.46887615815828,775.5199833012414,1.9774517164595269,16.692500000000003
2020-10-13 06:58:00,62.038304996443166,739.4999577358564,1.6473694653443047,20.695
2020-10-13 07:03:00,83.77550666008193,799.1093096325401,2.224580630039455,28.625
2020-10-13 07:08:00,106.3732702294546,845.2476578595978,2.824643215427443,37.85
2020-10-13 07:13:00,129.49627830116884,881.6802372330134,3.438653179858875,47.645
2020-10-13 07:18:00,152.9358309311866,911.00450624352,4.061068690505664,57.725
2020-10-13 07:23:00,176.55610397867778,935.0193673111064,4.688283063686271,67.4725
2020-10-13 07:28:00,200.26451121751893,954.9896471655472,5.317837758313345,76.7
2020-10-13 07:33:00,223.99495903706887,971.8214063415288,5.947977720053302,84.9525
2020-10-13 07:38:00,247.69816255163,986.1762870326688,6.57739423462391,93.11
2020-10-13 07:43:00,271.33580243646907,998.5464135917216,7.205069768011242,102.0825
2020-10-13 07:48:00,294.87695710722375,1009.3041746514028,7.830183226313693,112.695
2020-10-13 07:53:00,318.29579451318415,1018.7358285483976,8.452048663460232,126.0575
2020-10-13 07:58:00,341.5701059319124,1027.064629724296,9.070076347490726,141.17999999999998
2020-10-13 08:03:00,364.6803030552735,1034.4669970953314,9.683746129108613,155.01999999999998
2020-10-13 08:08:00,387.6087316130994,1041.0840180682358,10.292589215596138,160.3
2020-10-13 08:13:00,410.3392225326814,1047.0297708787266,10.89617625227214,167.3525
2020-10-13 08:18:00,432.8567348632974,1052.3974160677326,11.494107840685215,165.64
2020-10-13 08:23:00,455.1471416032696,1057.2637371720402,12.086008851449948,179.19
2020-10-13 08:28:00,477.1970320782471,1061.6925491326213,12.671523176587414,192.5225
2020-10-13 08:33:00,498.9936082172085,1065.7373048870577,13.25031097522958,193.94
