,ghi_clipped_x
2020-06-22 11:42:00,725.6925
2020-06-22 11:47:00,735.315
2020-06-22 11:52:00,737.59
2020-06-22 11:57:00,742.77
2020-06-22 12:02:00,742.7125000000001
2020-06-22 12:07:00,746.4449999999999
2020-06-22 12:12:00,750.9675000000001
2020-06-22 12:17:00,753.585
2020-06-22 12:22:00,759.855
2020-06-22 12:27:00,759.3275
2020-06-22 12:32:00,760.4575
2020-06-22 12:37:00,766.3575
2020-06-22 12:42:00,764.92
2020-06-22 12:47:00,765.8125
2020-06-22 12:52:00,769.27
2020-06-22 12:57:00,771.4725
2020-06-22 13:02:00,775.0375000000001
2020-06-22 13:07:00,773.325
2020-06-22 13:12:00,767.6575
2020-06-22 13:17:00,762.73
2020-06-22 13:22:00,761.5849999999999
2020-06-22 13:27:00,758.3625000000001
2020-06-22 13:32:00,751.735
2020-06-22 13:37:00,752.6550000000001
2020-06-22 13:42:00,749.4849999999999
2020-06-22 13:47:00,741.775
2020-06-22 13:52:00,739.6824999999999
2020-06-22 13:57:00,734.2950000000001
2020-06-22 14:02:00,731.0775
2020-06-22 14:07:00,720.775
2020-06-22 14:12:00,716.39
2020-06-22 14:17:00,706.3225
2020-06-22 14:22:00,702.9725
2020-06-22 14:27:00,697.4225
2020-06-22 14:32:00,686.31
2020-06-22 14:37:00,677.375
2020-06-22 14:42:00,676.2349999999999
2020-06-22 14:47:00,666.84
2020-06-22 14:52:00,657.895
2020-06-22 14:57:00,643.3625
2020-06-22 15:02:00,627.935
2020-06-22 15:07:00,615.6025
2020-06-22 15:12:00,608.6650000000001
2020-06-22 15:17:00,588.43
2020-06-22 15:22:00,573.6125000000001
2020-06-22 15:27:00,567.38
2020-06-22 15:32:00,547.99
2020-06-22 15:37:00,543.885
2020-06-22 15:42:00,526.5475
2020-06-22 15:47:00,513.96
2020-06-22 15:52:00,501.65749999999997
2020-06-22 15:57:00,485.745
2020-06-22 16:02:00,468.62
2020-06-22 16:07:00,459.54
2020-06-22 16:12:00,439.9475
2020-06-22 16:17:00,426.35
2020-06-22 16:22:00,414.6275
2020-06-22 16:27:00,397.38500000000005
2020-06-22 16:32:00,380.0725
2020-06-22 16:37:00,362.9
2020-06-22 16:42:00,348.70000000000005
2020-06-22 16:47:00,327.64
2020-06-22 16:52:00,312.1825
2020-06-22 16:57:00,296.725
2020-06-22 17:02:00,278.5775
2020-06-22 17:07:00,260.5475
2020-06-22 17:12:00,247.27
2020-06-22 17:17:00,235.38
2020-06-22 17:22:00,221.20250000000001
2020-06-22 17:27:00,205.5675
2020-06-22 17:32:00,193.46
2020-06-22 17:37:00,176.40500000000003
2020-06-22 17:42:00,163.3075
2020-06-22 17:47:00,151.7475
2020-06-22 17:52:00,139.1525
2020-06-23 15:27:00,688.38
2020-06-23 15:32:00,656.55
2020-06-23 15:37:00,688.0675
2020-06-23 15:42:00,695.645
2020-06-23 15:47:00,693.8675000000001
2020-06-23 15:52:00,686.7049999999999
2020-06-23 15:57:00,687.4384405186171
2020-06-23 16:02:00,628.5975
2020-06-23 16:07:00,640.4725
2020-06-23 16:12:00,564.3
2020-06-23 16:17:00,518.8125
2020-06-23 16:22:00,461.4725
2020-06-23 16:27:00,380.8225
2020-06-23 16:32:00,467.94499999999994
2020-06-23 16:37:00,499.02000000000004
2020-06-23 16:42:00,477.3675
2020-06-23 16:47:00,481.22
2020-06-23 16:52:00,461.95419477468704
2020-06-23 16:57:00,428.1
2020-06-23 17:02:00,327.1825
2020-06-23 17:07:00,337.0775
2020-06-23 17:12:00,304.73749999999995
2020-06-23 17:17:00,249.1175
2020-06-23 17:22:00,185.57500000000002
2020-06-23 17:27:00,148.005
2020-06-23 17:32:00,127.99249999999999
2020-06-23 17:37:00,120.32000000000001
2020-06-23 17:42:00,119.6075
2020-06-23 17:47:00,112.7075
2020-06-23 17:52:00,105.4575
2020-06-23 17:57:00,97.075
2020-06-23 18:02:00,88.3025
2020-06-23 18:07:00,79.0675
2020-06-23 18:12:00,70.71
